score,comparative,positive,negative
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-1,-0.08333333333333333,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":1,""comparative"":0.08333333333333333,""words"":[""no""]}"
3,0.1875,"{""score"":3,""comparative"":0.1875,""words"":[""joy""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":4,""comparative"":0.13333333333333333,""words"":[""fan"",""please""]}","{""score"":4,""comparative"":0.13333333333333333,""words"":[""hell""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
7,0.25925925925925924,"{""score"":7,""comparative"":0.25925925925925924,""words"":[""dear"",""love"",""sincerely""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.08,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.08,""words"":[""miss""]}"
-7,-0.30434782608695654,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":7,""comparative"":0.30434782608695654,""words"":[""slavery"",""wtf""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
4,0.4444444444444444,"{""score"":4,""comparative"":0.4444444444444444,""words"":[""lmao""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.16666666666666666,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.16666666666666666,""words"":[""sick""]}"
3,0.3333333333333333,"{""score"":3,""comparative"":0.3333333333333333,""words"":[""great""]}","{""score"":0,""comparative"":0,""words"":[]}"
-4,-0.17391304347826086,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":4,""comparative"":0.17391304347826086,""words"":[""fucking""]}"
-2,-0.0625,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.0625,""words"":[""fight"",""fight""]}"
2,0.06451612903225806,"{""score"":2,""comparative"":0.06451612903225806,""words"":[""join"",""dream""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":1,""comparative"":0.030303030303030304,""words"":[""smart""]}","{""score"":1,""comparative"":0.030303030303030304,""words"":[""no""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.15384615384615385,"{""score"":2,""comparative"":0.15384615384615385,""words"":[""like""]}","{""score"":0,""comparative"":0,""words"":[]}"
4,0.18181818181818182,"{""score"":4,""comparative"":0.18181818181818182,""words"":[""love"",""accept""]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.06896551724137931,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.06896551724137931,""words"":[""sad""]}"
-2,-0.07692307692307693,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.07692307692307693,""words"":[""missed""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-1,-0.022727272727272728,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":1,""comparative"":0.022727272727272728,""words"":[""cry""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-3,-0.125,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":3,""comparative"":0.125,""words"":[""worry""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.11764705882352941,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.11764705882352941,""words"":[""miss""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.16666666666666666,"{""score"":2,""comparative"":0.16666666666666666,""words"":[""positive""]}","{""score"":0,""comparative"":0,""words"":[]}"
-1,-0.04999999999999999,"{""score"":2,""comparative"":0.1,""words"":[""thanks""]}","{""score"":3,""comparative"":0.15,""words"":[""haters""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
4,0.36363636363636365,"{""score"":4,""comparative"":0.36363636363636365,""words"":[""win""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.06896551724137931,"{""score"":4,""comparative"":0.13793103448275862,""words"":[""funny""]}","{""score"":2,""comparative"":0.06896551724137931,""words"":[""useless""]}"
5,0.2631578947368421,"{""score"":6,""comparative"":0.3157894736842105,""words"":[""feeling"",""fine"",""celebrate""]}","{""score"":1,""comparative"":0.05263157894736842,""words"":[""strangely""]}"
-1,-0.07692307692307693,"{""score"":1,""comparative"":0.07692307692307693,""words"":[""huge""]}","{""score"":2,""comparative"":0.15384615384615385,""words"":[""scary""]}"
3,0.08108108108108109,"{""score"":4,""comparative"":0.10810810810810811,""words"":[""growing"",""happy""]}","{""score"":1,""comparative"":0.02702702702702703,""words"":[""cut""]}"
-2,-0.2222222222222222,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.2222222222222222,""words"":[""sad""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
4,0.13793103448275862,"{""score"":5,""comparative"":0.1724137931034483,""words"":[""pretty"",""awesome""]}","{""score"":1,""comparative"":0.034482758620689655,""words"":[""no""]}"
-5,-0.1388888888888889,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":5,""comparative"":0.1388888888888889,""words"":[""sad"",""lost""]}"
1,0.027777777777777776,"{""score"":1,""comparative"":0.027777777777777776,""words"":[""yeah""]}","{""score"":0,""comparative"":0,""words"":[]}"
-4,-0.16,"{""score"":1,""comparative"":0.04,""words"":[""please""]}","{""score"":5,""comparative"":0.2,""words"":[""boring"",""wrong""]}"
-1,-0.03571428571428571,"{""score"":1,""comparative"":0.03571428571428571,""words"":[""wish""]}","{""score"":2,""comparative"":0.07142857142857142,""words"":[""bothered""]}"
-1,-0.029411764705882346,"{""score"":3,""comparative"":0.08823529411764706,""words"":[""like"",""want""]}","{""score"":4,""comparative"":0.11764705882352941,""words"":[""shit""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-3,-0.15,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":3,""comparative"":0.15,""words"":[""warning""]}"
-3,-0.16666666666666666,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":3,""comparative"":0.16666666666666666,""words"":[""hate""]}"
0,0,"{""score"":2,""comparative"":0.05555555555555555,""words"":[""cute""]}","{""score"":2,""comparative"":0.05555555555555555,""words"":[""miss""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-1,-0.06666666666666667,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":1,""comparative"":0.06666666666666667,""words"":[""no""]}"
-3,-0.09999999999999999,"{""score"":2,""comparative"":0.06666666666666667,""words"":[""like""]}","{""score"":5,""comparative"":0.16666666666666666,""words"":[""boring"",""sick""]}"
3,0.15,"{""score"":3,""comparative"":0.15,""words"":[""great""]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.25,"{""score"":2,""comparative"":0.25,""words"":[""like""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-4,-0.13793103448275862,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":4,""comparative"":0.13793103448275862,""words"":[""fucked""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.18181818181818182,"{""score"":2,""comparative"":0.18181818181818182,""words"":[""joke""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.1,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.1,""words"":[""sad""]}"
1,0.058823529411764705,"{""score"":1,""comparative"":0.058823529411764705,""words"":[""motivation""]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.07142857142857142,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.07142857142857142,""words"":[""complained""]}"
4,0.25,"{""score"":4,""comparative"":0.25,""words"":[""fun""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.15384615384615385,"{""score"":2,""comparative"":0.15384615384615385,""words"":[""clean""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.2857142857142857,"{""score"":2,""comparative"":0.2857142857142857,""words"":[""proud""]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.3333333333333333,"{""score"":2,""comparative"":0.3333333333333333,""words"":[""congrats""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
1,0.05882352941176472,"{""score"":3,""comparative"":0.17647058823529413,""words"":[""love""]}","{""score"":2,""comparative"":0.11764705882352941,""words"":[""stupid""]}"
2,0.13333333333333333,"{""score"":2,""comparative"":0.13333333333333333,""words"":[""hug""]}","{""score"":0,""comparative"":0,""words"":[]}"
3,0.3333333333333333,"{""score"":3,""comparative"":0.3333333333333333,""words"":[""happiness""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-3,-0.17647058823529413,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":3,""comparative"":0.17647058823529413,""words"":[""hate""]}"
1,0.1111111111111111,"{""score"":1,""comparative"":0.1111111111111111,""words"":[""want""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.1,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.1,""words"":[""miss""]}"
-4,-0.19047619047619047,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":4,""comparative"":0.19047619047619047,""words"":[""hate"",""cut""]}"
1,0.05263157894736842,"{""score"":3,""comparative"":0.15789473684210525,""words"":[""love""]}","{""score"":2,""comparative"":0.10526315789473684,""words"":[""hurts""]}"
-2,-0.4,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.4,""words"":[""miss""]}"
-2,-0.3333333333333333,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.3333333333333333,""words"":[""miss""]}"
-2,-0.09523809523809523,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.09523809523809523,""words"":[""missed""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
5,0.35714285714285715,"{""score"":5,""comparative"":0.35714285714285715,""words"":[""friendly"",""lol""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
3,0.09090909090909091,"{""score"":3,""comparative"":0.09090909090909091,""words"":[""want"",""generous""]}","{""score"":0,""comparative"":0,""words"":[]}"
3,0.5,"{""score"":3,""comparative"":0.5,""words"":[""want"",""hug""]}","{""score"":0,""comparative"":0,""words"":[]}"
1,0.125,"{""score"":1,""comparative"":0.125,""words"":[""want""]}","{""score"":0,""comparative"":0,""words"":[]}"
3,0.1,"{""score"":3,""comparative"":0.1,""words"":[""wish"",""like""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.10526315789473684,"{""score"":2,""comparative"":0.10526315789473684,""words"":[""sunshine""]}","{""score"":0,""comparative"":0,""words"":[]}"
4,0.11764705882352941,"{""score"":4,""comparative"":0.11764705882352941,""words"":[""wish"",""great""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.05555555555555555,"{""score"":1,""comparative"":0.027777777777777776,""words"":[""trust""]}","{""score"":3,""comparative"":0.08333333333333333,""words"":[""sorry"",""pain""]}"
2,0.09523809523809523,"{""score"":2,""comparative"":0.09523809523809523,""words"":[""save""]}","{""score"":0,""comparative"":0,""words"":[]}"
